Spanish,Part of Speech,Synonyms,ShortDef,Definition,Sentences,Audio
cojones,mp,,,"<span class=""pos noun mp""> <span class=""tag"">[vulgar]:</span><span class=""usage"">balls, guts</span></span>","<span class=""spa"">Necesitamos a alguien con dos cojones para hacerlo.</span><br>
<span class=""eng"">We need someone with guts to do it.</span><br>
<span class=""spa"">A él le importa tres cojones lo que otros digan.</span><br>
<span class=""eng"">He is indifferent to what others say.</span><br>
<span class=""spa"">Como le hagas daño te corto los cojones.</span><br>
<span class=""eng"">If you hurt him, I'll cut your balls off.</span>",[sound:HTGFSAQXIBRYOKFXWWFDWH3SBDCA26KJ.mp3]
uña,f,,"<span class=""pos noun f""> <span class=""usage"">claw; hoof</span></span>","<span class=""pos noun f""> <span class=""usage"">claw; hoof; stinger; nail, fingernail, toenail</span></span>","<span class=""spa"">Tengo las uñas demasiado cortas.</span><br>
<span class=""eng"">My nails are too short.</span><br>
<span class=""spa"">Deja ya de morderte las uñas.</span><br>
<span class=""eng"">Stop biting your nails already.</span><br>
<span class=""spa"">Tengo la mala costumbre de morderme las uñas.</span><br>
<span class=""eng"">I have a bad habit of biting my nails.</span>",[sound:7IPAIHKNF53P6YONNXDDCMEKV6BEIQ6G.mp3]
lealtad,f,,,"<span class=""pos noun f""> <span class=""usage"">loyalty</span></span>","<span class=""spa"">Yo le prometí mi lealtad.</span><br>
<span class=""eng"">I pledged my loyalty to him.</span><br>
<span class=""spa"">Yo exijo absoluta lealtad de todos mis empleados.</span><br>
<span class=""eng"">I require absolute loyalty from all my employees.</span><br>
<span class=""spa"">El caballero hizo un juramento de lealtad al rey.</span><br>
<span class=""eng"">The knight swore an oath of allegiance to the king.</span>",[sound:EPDNB7PKNEGB2GGB4Z4ZB7FJZ6U2FUTI.mp3]
izquierdo,adj,siniestro,"<span class=""pos adj""> <span class=""usage"">left; on the left side or toward the left</span></span>","<span class=""pos adj""> <span class=""usage"">left; on the left side or toward the left; the opposite of right; left-handed; crooked</span></span>","<span class=""spa"">Él se quebró el brazo izquierdo.</span><br>
<span class=""eng"">He broke his left arm.</span><br>
<span class=""spa"">Tom cogió las llaves de su coche con la mano izquierda.</span><br>
<span class=""eng"">Tom had his car key in his left hand.</span><br>
<span class=""spa"">Tom come con la mano izquierda, pero escribe con la derecha.</span><br>
<span class=""eng"">Tom eats with his left hand, but he writes with his right.</span>",[sound:MYMCMK5IGXFCF7FE6VST6V4OBK2LNCRE.mp3]
ya que,conj,,"<span class=""pos conj""> <span class=""usage"">as; inasmuch as, since, because, given that, in that</span></span>","<span class=""pos conj""> <span class=""usage"">as, due to; inasmuch as, since, because, given that, in that, now that</span></span>","<span class=""spa"">Ya que estoy aquí, déjame ayudarte.</span><br>
<span class=""eng"">Since I'm here, let me help you.</span><br>
<span class=""spa"">Ya que estoy aquí, ¿te gustaría chatear?</span><br>
<span class=""eng"">Since I'm here, would you like to chat?</span><br>
<span class=""spa"">Ya que no tienes nada que ver con este asunto, no tienes de qué preocuparte.</span><br>
<span class=""eng"">Since you have nothing to do with this matter, you don't have to worry.</span>",[sound:C7CYD6A3AVKICVKEL2ODJRGE6QYAGMTE.mp3]
tiburón,m,,"<span class=""pos noun m""> <span class=""usage"">shark</span></span>
<span class=""pos noun m""> <span class=""tag"">[economics]:</span><span class=""usage"">raider</span></span>","<span class=""pos noun m""> <span class=""usage"">shark</span></span>
<span class=""pos noun m""> <span class=""tag"">[economics]:</span><span class=""usage"">raider; share raider</span></span>","<span class=""spa"">Los tiburones son buenos nadadores.</span><br>
<span class=""eng"">Sharks are good swimmers.</span><br>
<span class=""spa"">Tom dedicó su vida a estudiar a los tiburones.</span><br>
<span class=""eng"">Tom devoted his whole life to studying sharks.</span><br>
<span class=""spa"">La piel de un tiburón es mucho más áspera que la de un atún.</span><br>
<span class=""eng"">The skin of a shark is much rougher than that of a tuna fish.</span>",[sound:CGAF3UPRNVI5XJSGXXWAS4RTUWAUIZOB.mp3]
mago,m,,"<span class=""pos noun m""> <span class=""usage"">magician, sorcerer; Magi</span></span>","<span class=""pos noun m"">{m} <span class=""usage"">magician, sorcerer; Magi</span></span>
<span class=""pos adj"">{adj} <span class=""usage"">magician (attributive)</span></span>","<span class=""spa"">El mago solicitó un voluntario entre la audiencia.</span><br>
<span class=""eng"">The magician asked for a volunteer from the audience.</span><br>
<span class=""spa"">Tengo un amigo cuyo padre es mago.</span><br>
<span class=""eng"">I have a friend whose father is a magician.</span><br>
<span class=""spa"">¿Realmente crees que este sujeto es un mago?</span><br>
<span class=""eng"">Do you really believe that this guy is a magician?</span>",[sound:F3UVS4PIQ7FV7SV7XRENMIICE4ZFDWHW.mp3]
traidor,m/f,,"<span class=""pos noun m_f mf"">{mf} <span class=""usage"">traitor, betrayer, snake</span></span>
<span class=""pos adj"">{adj} <span class=""usage"">traitorous</span></span>","<span class=""pos noun m_f mf"">{mf} <span class=""usage"">traitor, betrayer, snake</span></span>
<span class=""pos adj"">{adj} <span class=""usage"">traitorous (characteristic of a traitor); unpredictable</span></span>","<span class=""spa"">Se ha convertido en un traidor.</span><br>
<span class=""eng"">He has turned traitor.</span><br>
<span class=""spa"">Tom le dijo traidora a María.</span><br>
<span class=""eng"">Tom called Mary a traitor.</span><br>
<span class=""spa"">Hay un traidor entre nosotros.</span><br>
<span class=""eng"">There's a traitor among us.</span>",[sound:FITYHD7HULS2CTULGECMS4G7E5GDMFLS.mp3]
resistencia,f,,"<span class=""pos noun f""> <span class=""usage"">resistance; resistor</span></span>","<span class=""pos noun f""> <span class=""usage"">resistance; resistor (component that implements electrical resistance); strength (of a material)</span></span>
<span class=""pos noun f""> <span class=""tag"">[physics]:</span><span class=""usage"">resistance</span></span>
<span class=""pos noun f""> <span class=""tag"">[exercise]:</span><span class=""usage"">endurance, stamina</span></span>
<span class=""pos noun f""> <span class=""tag"">[figuratively]:</span><span class=""usage"">endurance, resilience</span></span>","<span class=""spa"">Se admiraron de su resistencia.</span><br>
<span class=""eng"">They were amazed at his courage.</span><br>
<span class=""spa"">El enemigo se rindió sin dar más resistencia.</span><br>
<span class=""eng"">The enemy gave in without further resistance.</span><br>
<span class=""spa"">El concepto de resistencia es igualmente aplicable en fluidos.</span><br>
<span class=""eng"">The concept of resistance is just as applicable in fluids.</span>",[sound:H7KLCIGYIEYVSS37ESZHHBKDKQYMPLBR.mp3]
arroz,m,,"<span class=""pos noun m""> <span class=""usage"">rice</span></span>","<span class=""pos noun m""> <span class=""usage"">rice (cereal plants, Oryza sativa of the grass family whose seeds are used as food); rice (the seeds of this plant used as food)</span></span>","<span class=""spa"">¿Comes arroz todos los días?</span><br>
<span class=""eng"">Do you eat rice every day?</span><br>
<span class=""spa"">¿Quieres comer fideos o arroz?</span><br>
<span class=""eng"">Do you want to eat noodles or rice?</span><br>
<span class=""spa"">Esos campesinos urgentemente necesitan tierra para cultivar arroz.</span><br>
<span class=""eng"">Those peasants badly need land to grow rice.</span>",[sound:5Y7D7W3ID4SIGVSA4KTTKIMJJ3GSUGAC.mp3]
alianza,f,,"<span class=""pos noun f""> <span class=""usage"">alliance; wedding ring, wedding band</span></span>","<span class=""pos noun f""> <span class=""usage"">alliance; wedding ring, wedding band; political coalition</span></span>
<span class=""pos noun f""> <span class=""tag"">[Bible, religion, Christianity, Judaism, Islam]:</span><span class=""usage"">covenant</span></span>","<span class=""spa"">Hay una alianza importante entre esos dos países.</span><br>
<span class=""eng"">There is an important alliance between these two countries.</span><br>
<span class=""spa"">Alemania hizo una alianza con Italia.</span><br>
<span class=""eng"">Germany made an alliance with Italy.</span><br>
<span class=""spa"">Japón hizo una alianza con Francia justo antes de la guerra.</span><br>
<span class=""eng"">Japan entered into an alliance with France just before the war.</span>",[sound:4RLA2ZU3M4EHXKFJJP5K47DIMNP4S2L2.mp3]
reciente,adj,,,"<span class=""pos adj""> <span class=""usage"">recent</span></span>","<span class=""spa"">¿Cuál es su novela más reciente?</span><br>
<span class=""eng"">What's his most recent novel?</span><br>
<span class=""spa"">Que yo sepa, es la edición más reciente.</span><br>
<span class=""eng"">As far as I know, this is the latest edition.</span><br>
<span class=""spa"">Nos llegamos a conocer bien en un viaje reciente.</span><br>
<span class=""eng"">We got to know each other rather well on our recent trip.</span>",[sound:LDJ2BIDCOHWTRHWCBHPVPOQDCXFQZ2TO.mp3]
asistir,verb,,,"<span class=""pos verb v""> <span class=""usage"">to attend [an event]; to assist</span></span>","<span class=""spa"">Tom asistió a la reunión del lunes.</span><br>
<span class=""eng"">Tom attended Monday's meeting.</span><br>
<span class=""spa"">Pocos estudiantes asistieron al encuentro.</span><br>
<span class=""eng"">Few students attended the meeting.</span><br>
<span class=""spa"">¿Cuándo fue la última vez que asististe a una conferencia?</span><br>
<span class=""eng"">When was the last time you attended a conference?</span>",[sound:BPER6DUWTAM2BRVS7RRRF6OZCOERJOFE.mp3]
reaccionar,verb,,,"<span class=""pos verb v""> <span class=""usage"">to react</span></span>","<span class=""spa"">Sabía cómo iba a reaccionar.</span><br>
<span class=""eng"">I knew how you'd react.</span><br>
<span class=""spa"">Tom no sabía cómo reaccionar.</span><br>
<span class=""eng"">Tom didn't know how to react.</span><br>
<span class=""spa"">Veamos cómo reacciona Tom a eso.</span><br>
<span class=""eng"">Let's see how Tom reacts to that.</span>",[sound:T3DNHFNGBS2CBNSNKJWJOKS3CRH6LITR.mp3]
secuestrar,verb,raptar,"<span class=""pos verb v""> <span class=""usage"">to kidnap, abduct; to hijack (e.g. a vehicle)</span></span>","<span class=""pos verb v""> <span class=""usage"">to kidnap, abduct; to hijack (e.g. a vehicle)</span></span>
<span class=""pos verb v""> <span class=""tag"">[legal]:</span><span class=""usage"">to sequester, seize</span></span>","<span class=""spa"">¿Por qué alguien secuestraría a Tom?</span><br>
<span class=""eng"">Why would anybody kidnap Tom?</span><br>
<span class=""spa"">Las personas gordas son difíciles de secuestrar.</span><br>
<span class=""eng"">Fat people are hard to kidnap.</span><br>
<span class=""spa"">¿Qué tal si alguien secuestrara a Tom? ¿Qué harías tú?</span><br>
<span class=""eng"">What if someone kidnapped Tom? What would you do?</span>",[sound:YJU25PD37B6CGRZ6TNTZAWXIPJCEORTY.mp3]
policial,adj,,"<span class=""pos adj only-spain spain""> <span class=""tag"">[Spain]:</span><span class=""usage"">Related to the police</span></span>
<span class=""pos adj""> <span class=""usage"">police procedural</span></span>","<span class=""pos adj only-spain spain""> <span class=""tag"">[Spain]:</span><span class=""usage"">Related to the police, police force</span></span>
<span class=""pos adj""> <span class=""usage"">police procedural; whodunit, whodunnit [UK]</span></span>","<span class=""spa"">De niño yo era adicto a la lectura de cuentos policiales.</span><br>
<span class=""eng"">When I was a boy, I was addicted to reading detective stories.</span><br>
<span class=""spa"">Han habido muchas quejas acerca de la falta de protección policial.</span><br>
<span class=""eng"">There have been a lot of complaints about the lack of police protection.</span><br>
<span class=""spa"">Tom pidió protección policial después que John y Mary lo amenazaran con matarlo.</span><br>
<span class=""eng"">Tom asked for police protection after Mary and John threatened to kill him.</span>",[sound:PAMOII2NQEXBLZCTPLMRE5KL5SX5QOFW.mp3]
explosivo,adj,,,"<span class=""pos adj"">{adj} <span class=""usage"">explosive</span></span>
<span class=""pos noun m"">{m} <span class=""usage"">explosive</span></span>","<span class=""spa"">Debemos prevenir el crecimiento explosivo de la población.</span><br>
<span class=""eng"">We must prevent rapid population growth.</span>",[sound:7YKCD6I77GGIMOFLBJ45OFJJGELK6GGF.mp3]
capítulo,m,episodio,,"<span class=""pos noun m""> <span class=""usage"">chapter</span></span>","<span class=""spa"">Vamos a empezar con el primer capítulo.</span><br>
<span class=""eng"">Let's begin with the first chapter.</span><br>
<span class=""spa"">He leído sólo los tres primeros capítulos.</span><br>
<span class=""eng"">I've read only the first three chapters.</span><br>
<span class=""spa"">Vas a haber adivinado su significado para el final del capítulo.</span><br>
<span class=""eng"">You will have guessed its meaning by the end of the chapter.</span>",[sound:ZRGQRYFNQOMK6M5ZIPAUWIEKWZWV6WCW.mp3]
cumplido,adj,,,"<span class=""pos adj"">{adj} <span class=""usage"">polite, thoughtful</span></span>
<span class=""pos noun m"">{m} <span class=""usage"">compliment</span></span>","<span class=""spa"">Siempre he cumplido las normas.</span><br>
<span class=""eng"">I've always obeyed the rules.</span><br>
<span class=""spa"">Me irritó hasta decir basta con tantos cumplidos.</span><br>
<span class=""eng"">She irritates me to no end with her complaints.</span><br>
<span class=""spa"">Lo dije como un cumplido.</span><br>
<span class=""eng"">I meant it as a compliment.</span>",[sound:PAXOTPJOJYKZJN64XYS5PFQFPOEGCR7C.mp3]
negociar,verb,,"<span class=""pos verb v""> <span class=""usage"">to negotiate; to trade</span></span>","<span class=""pos verb v""> <span class=""usage"">to negotiate; to trade</span></span>
<span class=""pos verb v""> <span class=""tag"">[colloquial]:</span><span class=""usage"">to make money, make profit</span></span>","<span class=""spa"">Tom negoció un nuevo contrato.</span><br>
<span class=""eng"">Tom negotiated a new contract.</span><br>
<span class=""spa"">Mi amigo quiere negociar con casas sudamericanas.</span><br>
<span class=""eng"">My friend wants to do business with South American firms.</span><br>
<span class=""spa"">Los dos países negociarán una solución a la crisis.</span><br>
<span class=""eng"">The two countries will negotiate a settlement to the crisis.</span>",[sound:OSLINGTPW7OD5WJLMVUE5B2GZXMJDYNA.mp3]
